,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
956,800-1200,0,2.0-2.5,0,5.0-10.0,1,0-20,0-0.2,80-120,8,10.0-15.0,500-1000,1600-2000,3000-4000,8-11,0.0-5.0,5.0-10.0,1,1,1,3
957,1600-2000,1,2.0-2.5,1,0.0-5.0,1,40-60,0.8-1.0,80-120,4,0.0-5.0,0-500,1200-1600,3000-4000,8-11,5.0-10.0,15.0-20.0,1,0,1,3
958,800-1200,0,2.0-2.5,0,0.0-5.0,0,20-40,0.8-1.0,80-120,1,10.0-15.0,500-1000,1600-2000,1000-2000,5-8,0.0-5.0,5.0-10.0,0,0,0,1
959,1200-1600,0,0.5-1.0,1,0.0-5.0,0,20-40,0-0.2,120-160,1,10.0-15.0,500-1000,800-1200,3000-4000,17-20,0.0-5.0,10.0-15.0,1,0,1,3
960,1200-1600,0,2.5-3.0,1,5.0-10.0,0,0-20,0.6-0.8,120-160,2,5.0-10.0,0-500,800-1200,2000-3000,11-14,10.0-15.0,10.0-15.0,1,1,1,2
961,1600-2000,1,0.5-1.0,1,0.0-5.0,1,60-80,0-0.2,120-160,6,5.0-10.0,1500-2000,1600-2000,3000-4000,5-8,0.0-5.0,10.0-15.0,1,0,0,3
962,1600-2000,0,2.5-3.0,1,0.0-5.0,0,0-20,0.6-0.8,160-200,1,5.0-10.0,0-500,800-1200,1000-2000,11-14,0.0-5.0,5.0-10.0,0,0,0,1
963,1600-2000,1,0.5-1.0,0,0.0-5.0,1,40-60,0.4-0.6,120-160,7,5.0-10.0,1500-2000,1600-2000,0-1000,5-8,0.0-5.0,0.0-5.0,1,0,0,1
964,400-800,0,1.5-2.0,1,0.0-5.0,0,0-20,0.8-1.0,80-120,5,15.0-20.0,500-1000,1600-2000,2000-3000,5-8,5.0-10.0,0.0-5.0,0,0,1,2
965,1200-1600,0,0.5-1.0,1,0.0-5.0,0,0-20,0.2-0.4,120-160,8,15.0-20.0,0-500,400-800,3000-4000,8-11,0.0-5.0,15.0-20.0,0,1,1,3
966,1600-2000,1,1.5-2.0,0,0.0-5.0,0,20-40,0.4-0.6,80-120,2,0.0-5.0,500-1000,1200-1600,0-1000,5-8,0.0-5.0,5.0-10.0,0,0,1,0
967,1600-2000,0,1.5-2.0,1,0.0-5.0,1,0-20,0.4-0.6,120-160,8,0.0-5.0,500-1000,800-1200,0-1000,8-11,0.0-5.0,0.0-5.0,1,1,1,0
968,1600-2000,0,0.5-1.0,1,5.0-10.0,0,40-60,0.4-0.6,160-200,1,5.0-10.0,500-1000,1600-2000,1000-2000,8-11,5.0-10.0,0.0-5.0,1,1,1,1
969,1200-1600,1,2.5-3.0,0,5.0-10.0,1,20-40,0-0.2,160-200,3,10.0-15.0,500-1000,1200-1600,1000-2000,8-11,0.0-5.0,10.0-15.0,1,0,0,1
970,800-1200,0,1.5-2.0,1,0.0-5.0,1,0-20,0-0.2,80-120,8,5.0-10.0,0-500,400-800,1000-2000,5-8,0.0-5.0,0.0-5.0,1,0,1,1
971,1200-1600,0,1.0-1.5,1,0.0-5.0,1,40-60,0.8-1.0,120-160,2,5.0-10.0,500-1000,400-800,0-1000,5-8,0.0-5.0,5.0-10.0,1,0,1,0
972,1200-1600,0,0.5-1.0,0,5.0-10.0,1,40-60,0.6-0.8,80-120,4,10.0-15.0,0-500,1200-1600,3000-4000,17-20,5.0-10.0,5.0-10.0,1,1,0,3
973,400-800,1,0.5-1.0,1,0.0-5.0,0,20-40,0.8-1.0,120-160,1,10.0-15.0,0-500,400-800,3000-4000,14-17,10.0-15.0,10.0-15.0,0,0,0,2
974,400-800,1,0.5-1.0,1,0.0-5.0,0,40-60,0.8-1.0,80-120,4,10.0-15.0,500-1000,800-1200,0-1000,14-17,5.0-10.0,10.0-15.0,0,0,0,0
975,800-1200,1,0.5-1.0,0,0.0-5.0,1,40-60,0.2-0.4,80-120,1,15.0-20.0,500-1000,1600-2000,1000-2000,11-14,0.0-5.0,5.0-10.0,1,0,1,1
976,1600-2000,0,0.5-1.0,0,0.0-5.0,1,20-40,0.4-0.6,80-120,6,10.0-15.0,1000-1500,1200-1600,3000-4000,17-20,5.0-10.0,10.0-15.0,1,0,0,3
977,800-1200,1,2.0-2.5,0,0.0-5.0,1,40-60,0-0.2,120-160,5,10.0-15.0,0-500,1200-1600,1000-2000,14-17,0.0-5.0,15.0-20.0,1,0,0,0
978,1200-1600,0,0.5-1.0,0,0.0-5.0,0,40-60,0.2-0.4,80-120,2,5.0-10.0,1500-2000,1600-2000,3000-4000,17-20,0.0-5.0,15.0-20.0,0,1,1,3
979,1600-2000,1,2.0-2.5,1,0.0-5.0,1,40-60,0.6-0.8,80-120,5,5.0-10.0,0-500,1600-2000,1000-2000,5-8,0.0-5.0,15.0-20.0,1,0,0,1
980,1200-1600,0,2.0-2.5,0,10.0-15.0,0,20-40,0.2-0.4,80-120,1,10.0-15.0,0-500,1600-2000,0-1000,14-17,5.0-10.0,5.0-10.0,0,1,0,0
981,800-1200,1,2.5-3.0,1,0.0-5.0,1,40-60,0-0.2,80-120,8,0.0-5.0,0-500,800-1200,3000-4000,14-17,10.0-15.0,5.0-10.0,1,1,1,3
982,800-1200,0,0.5-1.0,1,0.0-5.0,1,40-60,0.4-0.6,80-120,3,0.0-5.0,0-500,1600-2000,3000-4000,11-14,0.0-5.0,10.0-15.0,1,1,0,3
983,800-1200,1,1.0-1.5,0,0.0-5.0,0,0-20,0.2-0.4,160-200,7,5.0-10.0,500-1000,1200-1600,1000-2000,8-11,0.0-5.0,5.0-10.0,1,1,0,1
984,1200-1600,1,0.5-1.0,1,0.0-5.0,1,0-20,0-0.2,80-120,4,0.0-5.0,500-1000,1200-1600,0-1000,11-14,5.0-10.0,10.0-15.0,1,0,1,0
985,800-1200,0,0.5-1.0,1,5.0-10.0,0,40-60,0.4-0.6,120-160,4,10.0-15.0,1000-1500,1600-2000,0-1000,11-14,5.0-10.0,5.0-10.0,1,1,0,0
986,1600-2000,0,2.5-3.0,1,0.0-5.0,1,0-20,0.8-1.0,80-120,7,15.0-20.0,0-500,800-1200,0-1000,8-11,5.0-10.0,5.0-10.0,1,0,0,0
987,1600-2000,0,2.0-2.5,0,0.0-5.0,1,20-40,0-0.2,160-200,7,0.0-5.0,500-1000,800-1200,3000-4000,14-17,10.0-15.0,5.0-10.0,1,1,1,3
988,1200-1600,1,0.5-1.0,1,0.0-5.0,1,40-60,0.2-0.4,80-120,5,5.0-10.0,1500-2000,1600-2000,2000-3000,14-17,5.0-10.0,10.0-15.0,1,0,1,3
989,400-800,1,0.5-1.0,0,5.0-10.0,0,0-20,0.2-0.4,80-120,5,10.0-15.0,500-1000,800-1200,2000-3000,8-11,0.0-5.0,15.0-20.0,1,1,1,1
990,1200-1600,1,2.5-3.0,1,10.0-15.0,0,0-20,0.4-0.6,120-160,7,15.0-20.0,0-500,1200-1600,1000-2000,8-11,0.0-5.0,15.0-20.0,0,0,0,1
991,800-1200,1,1.5-2.0,1,10.0-15.0,0,40-60,0.4-0.6,160-200,7,15.0-20.0,0-500,1200-1600,1000-2000,14-17,0.0-5.0,15.0-20.0,1,0,0,1
992,800-1200,0,1.0-1.5,1,0.0-5.0,0,20-40,0-0.2,80-120,4,15.0-20.0,1500-2000,1600-2000,1000-2000,5-8,0.0-5.0,10.0-15.0,0,1,0,1
993,400-800,1,0.5-1.0,0,10.0-15.0,0,0-20,0.2-0.4,80-120,6,10.0-15.0,1000-1500,1200-1600,0-1000,5-8,5.0-10.0,15.0-20.0,0,1,0,0
994,800-1200,0,1.0-1.5,0,10.0-15.0,0,40-60,0.8-1.0,160-200,6,10.0-15.0,0-500,400-800,0-1000,11-14,5.0-10.0,5.0-10.0,1,1,1,0
995,1200-1600,0,1.5-2.0,1,0.0-5.0,0,40-60,0-0.2,160-200,3,15.0-20.0,1000-1500,1200-1600,3000-4000,11-14,10.0-15.0,15.0-20.0,1,1,0,3
996,400-800,0,0.5-1.0,1,0.0-5.0,1,0-20,0.4-0.6,160-200,2,5.0-10.0,1000-1500,1600-2000,2000-3000,5-8,5.0-10.0,0.0-5.0,1,1,1,2
997,800-1200,0,0.5-1.0,1,0.0-5.0,1,0-20,0.8-1.0,160-200,8,5.0-10.0,0-500,800-1200,1000-2000,17-20,10.0-15.0,10.0-15.0,1,1,0,0
998,1200-1600,1,1.5-2.0,1,0.0-5.0,1,20-40,0.8-1.0,120-160,6,10.0-15.0,1000-1500,1200-1600,2000-3000,14-17,0.0-5.0,5.0-10.0,1,1,1,3
999,1600-2000,1,2.5-3.0,0,0.0-5.0,0,0-20,0.4-0.6,160-200,6,0.0-5.0,500-1000,400-800,3000-4000,5-8,0.0-5.0,5.0-10.0,0,1,1,3
1000,400-800,0,0.5-1.0,0,0.0-5.0,1,20-40,0-0.2,120-160,5,0.0-5.0,1000-1500,1200-1600,3000-4000,14-17,0.0-5.0,0.0-5.0,1,1,1,2
1001,1200-1600,0,2.5-3.0,1,0.0-5.0,0,40-60,0.4-0.6,120-160,2,10.0-15.0,500-1000,400-800,0-1000,8-11,0.0-5.0,15.0-20.0,0,1,1,0
1002,400-800,1,0.5-1.0,1,10.0-15.0,0,40-60,0-0.2,160-200,3,15.0-20.0,0-500,400-800,1000-2000,8-11,5.0-10.0,5.0-10.0,1,0,0,0
1003,1200-1600,1,0.5-1.0,1,0.0-5.0,0,40-60,0.2-0.4,80-120,7,10.0-15.0,1000-1500,1600-2000,0-1000,14-17,0.0-5.0,10.0-15.0,1,0,1,0
1004,800-1200,1,0.5-1.0,0,10.0-15.0,0,40-60,0.8-1.0,120-160,8,15.0-20.0,0-500,400-800,3000-4000,11-14,5.0-10.0,5.0-10.0,1,0,0,2
1005,1200-1600,1,2.0-2.5,0,0.0-5.0,0,40-60,0.4-0.6,80-120,5,0.0-5.0,1500-2000,1600-2000,3000-4000,11-14,0.0-5.0,15.0-20.0,0,0,1,3
1006,800-1200,0,0.5-1.0,1,10.0-15.0,0,0-20,0.2-0.4,120-160,1,10.0-15.0,0-500,400-800,1000-2000,5-8,0.0-5.0,15.0-20.0,1,0,0,0
1007,1600-2000,1,0.5-1.0,0,15.0-20.0,1,20-40,0-0.2,120-160,2,15.0-20.0,1000-1500,1600-2000,0-1000,17-20,0.0-5.0,0.0-5.0,1,0,1,1
1008,1600-2000,0,1.0-1.5,1,0.0-5.0,0,20-40,0.2-0.4,160-200,8,5.0-10.0,1000-1500,1200-1600,2000-3000,5-8,0.0-5.0,5.0-10.0,0,0,0,3
1009,1600-2000,0,2.0-2.5,0,0.0-5.0,0,40-60,0.2-0.4,120-160,5,5.0-10.0,0-500,1200-1600,1000-2000,11-14,0.0-5.0,10.0-15.0,1,0,0,1
1010,400-800,0,0.5-1.0,0,0.0-5.0,0,0-20,0.8-1.0,160-200,4,15.0-20.0,500-1000,1600-2000,2000-3000,14-17,0.0-5.0,0.0-5.0,0,0,1,2
1011,400-800,0,2.5-3.0,1,5.0-10.0,0,0-20,0-0.2,80-120,2,5.0-10.0,500-1000,1200-1600,0-1000,11-14,5.0-10.0,15.0-20.0,0,1,1,0
1012,400-800,1,1.0-1.5,0,0.0-5.0,1,40-60,0.6-0.8,120-160,3,0.0-5.0,500-1000,400-800,1000-2000,14-17,5.0-10.0,5.0-10.0,1,0,1,0
1013,1600-2000,0,1.5-2.0,0,0.0-5.0,0,40-60,0.8-1.0,160-200,6,0.0-5.0,1000-1500,1200-1600,1000-2000,5-8,0.0-5.0,5.0-10.0,1,0,0,2
1014,1600-2000,0,1.5-2.0,1,0.0-5.0,1,20-40,0.8-1.0,80-120,2,15.0-20.0,0-500,800-1200,0-1000,8-11,0.0-5.0,5.0-10.0,1,1,0,0
1015,1200-1600,0,0.5-1.0,0,0.0-5.0,0,40-60,0.4-0.6,160-200,4,15.0-20.0,0-500,400-800,3000-4000,11-14,5.0-10.0,5.0-10.0,0,0,0,2
1016,400-800,1,2.5-3.0,0,0.0-5.0,1,40-60,0-0.2,160-200,7,10.0-15.0,0-500,1600-2000,1000-2000,5-8,0.0-5.0,15.0-20.0,1,0,1,0
1017,1200-1600,0,0.5-1.0,0,0.0-5.0,1,20-40,0.4-0.6,120-160,1,5.0-10.0,1500-2000,1600-2000,2000-3000,11-14,10.0-15.0,5.0-10.0,1,1,1,3
1018,800-1200,1,0.5-1.0,0,10.0-15.0,0,60-80,0.6-0.8,160-200,8,15.0-20.0,1500-2000,1600-2000,3000-4000,8-11,0.0-5.0,5.0-10.0,0,0,1,3
1019,1600-2000,0,2.5-3.0,1,0.0-5.0,1,60-80,0-0.2,160-200,4,15.0-20.0,0-500,1200-1600,1000-2000,5-8,0.0-5.0,10.0-15.0,1,1,1,1
1020,800-1200,0,0.5-1.0,1,0.0-5.0,1,20-40,0.2-0.4,160-200,4,0.0-5.0,500-1000,800-1200,3000-4000,5-8,0.0-5.0,5.0-10.0,1,0,0,3
1021,1600-2000,0,0.5-1.0,1,0.0-5.0,0,40-60,0.4-0.6,80-120,4,0.0-5.0,0-500,1600-2000,3000-4000,14-17,5.0-10.0,10.0-15.0,0,1,1,3
1022,800-1200,0,0.5-1.0,0,10.0-15.0,1,60-80,0.2-0.4,120-160,3,15.0-20.0,0-500,800-1200,1000-2000,14-17,5.0-10.0,0.0-5.0,1,1,1,1
1023,1200-1600,0,2.5-3.0,0,5.0-10.0,0,40-60,0-0.2,80-120,3,15.0-20.0,0-500,400-800,0-1000,11-14,5.0-10.0,10.0-15.0,1,1,1,0
1024,800-1200,1,0.5-1.0,0,5.0-10.0,0,40-60,0-0.2,120-160,5,5.0-10.0,500-1000,800-1200,1000-2000,11-14,10.0-15.0,10.0-15.0,0,1,0,0
1025,800-1200,1,2.0-2.5,1,10.0-15.0,0,40-60,0.8-1.0,80-120,3,15.0-20.0,0-500,400-800,0-1000,8-11,0.0-5.0,5.0-10.0,0,0,1,0
1026,400-800,0,2.0-2.5,0,0.0-5.0,1,40-60,0-0.2,120-160,4,0.0-5.0,0-500,800-1200,1000-2000,17-20,10.0-15.0,5.0-10.0,1,0,0,0
1027,400-800,0,1.0-1.5,1,5.0-10.0,0,20-40,0-0.2,160-200,2,10.0-15.0,500-1000,1600-2000,1000-2000,5-8,0.0-5.0,10.0-15.0,0,1,0,1
1028,800-1200,1,0.5-1.0,0,0.0-5.0,1,0-20,0-0.2,120-160,2,0.0-5.0,0-500,1600-2000,1000-2000,11-14,0.0-5.0,0.0-5.0,1,1,0,1
1029,1600-2000,1,1.0-1.5,1,0.0-5.0,1,20-40,0.2-0.4,120-160,5,0.0-5.0,0-500,400-800,2000-3000,11-14,10.0-15.0,15.0-20.0,1,0,0,2
1030,1600-2000,1,2.0-2.5,1,5.0-10.0,0,0-20,0.2-0.4,160-200,1,5.0-10.0,500-1000,800-1200,2000-3000,5-8,0.0-5.0,15.0-20.0,1,1,1,2
1031,1600-2000,1,0.5-1.0,1,0.0-5.0,0,40-60,0.8-1.0,80-120,6,5.0-10.0,0-500,400-800,2000-3000,8-11,0.0-5.0,0.0-5.0,0,1,1,2
1032,1600-2000,0,1.0-1.5,0,5.0-10.0,1,0-20,0.8-1.0,80-120,7,15.0-20.0,0-500,1200-1600,1000-2000,14-17,15.0-20.0,10.0-15.0,1,1,1,1
1033,1600-2000,1,1.0-1.5,0,0.0-5.0,0,40-60,0-0.2,120-160,4,0.0-5.0,500-1000,1600-2000,2000-3000,5-8,0.0-5.0,10.0-15.0,1,0,0,2
1034,1600-2000,1,1.0-1.5,0,5.0-10.0,0,40-60,0.2-0.4,120-160,7,10.0-15.0,500-1000,800-1200,0-1000,5-8,0.0-5.0,15.0-20.0,0,0,0,0
1035,1600-2000,0,1.5-2.0,0,0.0-5.0,0,0-20,0.8-1.0,80-120,3,0.0-5.0,0-500,400-800,0-1000,5-8,0.0-5.0,0.0-5.0,0,1,1,0
1036,400-800,0,2.0-2.5,1,0.0-5.0,0,40-60,0.6-0.8,120-160,7,0.0-5.0,0-500,1600-2000,3000-4000,14-17,0.0-5.0,0.0-5.0,0,1,0,3
1037,800-1200,0,1.5-2.0,0,0.0-5.0,1,40-60,0.2-0.4,160-200,2,10.0-15.0,500-1000,1200-1600,1000-2000,5-8,0.0-5.0,0.0-5.0,1,1,1,0
1038,800-1200,0,2.5-3.0,0,0.0-5.0,0,20-40,0.4-0.6,160-200,3,0.0-5.0,1500-2000,1600-2000,1000-2000,11-14,5.0-10.0,0.0-5.0,0,1,0,1
1039,400-800,1,0.5-1.0,1,0.0-5.0,1,40-60,0.8-1.0,160-200,5,10.0-15.0,0-500,1600-2000,2000-3000,11-14,0.0-5.0,5.0-10.0,1,0,0,1
1040,800-1200,0,0.5-1.0,0,10.0-15.0,1,0-20,0.6-0.8,120-160,7,10.0-15.0,0-500,1600-2000,0-1000,5-8,0.0-5.0,0.0-5.0,1,1,1,0
1041,1600-2000,0,2.0-2.5,0,0.0-5.0,1,60-80,0.4-0.6,80-120,7,5.0-10.0,1000-1500,1600-2000,2000-3000,17-20,10.0-15.0,5.0-10.0,1,0,1,3
1042,1600-2000,0,2.5-3.0,1,0.0-5.0,1,40-60,0-0.2,80-120,3,5.0-10.0,1000-1500,1600-2000,2000-3000,5-8,0.0-5.0,5.0-10.0,1,0,0,2
1043,1600-2000,0,2.5-3.0,1,0.0-5.0,1,0-20,0-0.2,120-160,2,10.0-15.0,0-500,400-800,0-1000,14-17,0.0-5.0,0.0-5.0,1,0,0,0
1044,1200-1600,1,2.5-3.0,1,0.0-5.0,0,20-40,0.6-0.8,120-160,7,10.0-15.0,1000-1500,1600-2000,1000-2000,8-11,0.0-5.0,10.0-15.0,0,0,0,1
1045,400-800,0,1.0-1.5,0,5.0-10.0,0,60-80,0.6-0.8,160-200,7,10.0-15.0,0-500,1600-2000,2000-3000,14-17,0.0-5.0,15.0-20.0,0,1,0,2
1046,800-1200,0,2.0-2.5,0,0.0-5.0,0,0-20,0.4-0.6,120-160,5,10.0-15.0,0-500,800-1200,3000-4000,5-8,0.0-5.0,10.0-15.0,1,0,0,3
1047,400-800,0,1.0-1.5,0,0.0-5.0,0,20-40,0.6-0.8,160-200,8,0.0-5.0,500-1000,800-1200,2000-3000,8-11,5.0-10.0,15.0-20.0,0,1,1,2
1048,1600-2000,1,2.0-2.5,0,0.0-5.0,0,0-20,0-0.2,160-200,7,5.0-10.0,500-1000,800-1200,3000-4000,8-11,5.0-10.0,5.0-10.0,0,1,1,3
1049,400-800,1,1.5-2.0,1,0.0-5.0,1,20-40,0-0.2,80-120,1,0.0-5.0,500-1000,800-1200,2000-3000,5-8,0.0-5.0,15.0-20.0,1,1,0,1
1050,400-800,0,0.5-1.0,1,0.0-5.0,1,20-40,0.6-0.8,80-120,1,5.0-10.0,500-1000,800-1200,1000-2000,14-17,10.0-15.0,5.0-10.0,1,0,1,1
1051,800-1200,0,1.5-2.0,0,0.0-5.0,1,20-40,0.2-0.4,80-120,3,5.0-10.0,500-1000,1600-2000,1000-2000,11-14,5.0-10.0,10.0-15.0,1,1,1,1
1052,400-800,0,1.5-2.0,1,0.0-5.0,0,20-40,0.2-0.4,120-160,5,0.0-5.0,0-500,400-800,2000-3000,14-17,0.0-5.0,5.0-10.0,1,1,0,1
1053,400-800,1,0.5-1.0,0,0.0-5.0,1,0-20,0-0.2,80-120,8,5.0-10.0,1500-2000,1600-2000,3000-4000,14-17,10.0-15.0,0.0-5.0,1,0,1,3
1054,1600-2000,0,0.5-1.0,1,10.0-15.0,0,20-40,0.2-0.4,120-160,5,10.0-15.0,500-1000,400-800,1000-2000,14-17,0.0-5.0,15.0-20.0,1,0,1,1
1055,1600-2000,1,0.5-1.0,1,0.0-5.0,0,0-20,0-0.2,120-160,2,0.0-5.0,0-500,400-800,1000-2000,11-14,0.0-5.0,5.0-10.0,0,0,0,1
1056,800-1200,0,0.5-1.0,1,0.0-5.0,0,60-80,0.8-1.0,80-120,4,5.0-10.0,0-500,1200-1600,3000-4000,5-8,0.0-5.0,0.0-5.0,0,0,0,2
1057,800-1200,1,0.5-1.0,0,0.0-5.0,1,20-40,0.8-1.0,120-160,6,0.0-5.0,1000-1500,1600-2000,2000-3000,5-8,0.0-5.0,0.0-5.0,1,1,0,2
1058,400-800,0,0.5-1.0,0,5.0-10.0,1,0-20,0-0.2,160-200,8,10.0-15.0,0-500,800-1200,2000-3000,5-8,0.0-5.0,15.0-20.0,1,1,1,1
1059,1600-2000,0,2.5-3.0,1,0.0-5.0,1,0-20,0.6-0.8,160-200,8,10.0-15.0,500-1000,800-1200,2000-3000,5-8,0.0-5.0,15.0-20.0,1,1,0,2
1060,1200-1600,1,2.0-2.5,0,0.0-5.0,0,20-40,0-0.2,120-160,4,5.0-10.0,500-1000,800-1200,3000-4000,17-20,15.0-20.0,0.0-5.0,1,0,0,3
1061,1200-1600,1,0.5-1.0,1,0.0-5.0,0,20-40,0-0.2,120-160,1,0.0-5.0,500-1000,800-1200,1000-2000,11-14,0.0-5.0,15.0-20.0,1,0,1,1
1062,400-800,1,2.0-2.5,0,15.0-20.0,1,40-60,0.4-0.6,80-120,1,15.0-20.0,0-500,1200-1600,2000-3000,8-11,0.0-5.0,5.0-10.0,1,0,1,2
1063,1600-2000,0,0.5-1.0,1,0.0-5.0,0,0-20,0.6-0.8,160-200,6,15.0-20.0,0-500,800-1200,0-1000,5-8,0.0-5.0,5.0-10.0,1,1,1,0
1064,1600-2000,0,0.5-1.0,1,0.0-5.0,0,0-20,0.6-0.8,80-120,6,5.0-10.0,1500-2000,1600-2000,0-1000,14-17,0.0-5.0,5.0-10.0,1,0,1,1
1065,800-1200,1,0.5-1.0,0,5.0-10.0,0,40-60,0-0.2,80-120,3,5.0-10.0,500-1000,1600-2000,0-1000,14-17,5.0-10.0,5.0-10.0,0,1,0,0
1066,1600-2000,0,0.5-1.0,0,5.0-10.0,0,20-40,0.6-0.8,120-160,6,15.0-20.0,0-500,1600-2000,2000-3000,11-14,5.0-10.0,15.0-20.0,1,1,1,3
1067,1600-2000,1,0.5-1.0,0,0.0-5.0,1,20-40,0-0.2,80-120,6,5.0-10.0,0-500,400-800,0-1000,5-8,0.0-5.0,15.0-20.0,1,1,0,0
1068,800-1200,1,0.5-1.0,0,0.0-5.0,0,40-60,0.4-0.6,160-200,1,0.0-5.0,0-500,1200-1600,0-1000,8-11,0.0-5.0,5.0-10.0,1,1,0,0
1069,1200-1600,0,2.5-3.0,0,0.0-5.0,0,20-40,0.4-0.6,120-160,4,15.0-20.0,500-1000,1200-1600,0-1000,5-8,0.0-5.0,5.0-10.0,0,0,1,0
1070,1600-2000,1,2.0-2.5,0,0.0-5.0,0,40-60,0-0.2,80-120,7,15.0-20.0,500-1000,1200-1600,0-1000,11-14,0.0-5.0,5.0-10.0,0,1,1,0
1071,1200-1600,0,0.5-1.0,1,0.0-5.0,0,40-60,0.6-0.8,160-200,7,10.0-15.0,500-1000,800-1200,1000-2000,17-20,0.0-5.0,0.0-5.0,1,0,1,1
1072,1200-1600,0,0.5-1.0,0,0.0-5.0,1,20-40,0.4-0.6,80-120,7,0.0-5.0,500-1000,1600-2000,2000-3000,14-17,0.0-5.0,5.0-10.0,1,1,0,3
1073,800-1200,1,2.0-2.5,0,10.0-15.0,0,0-20,0.4-0.6,160-200,3,10.0-15.0,0-500,800-1200,0-1000,8-11,5.0-10.0,10.0-15.0,1,1,0,0
1074,400-800,1,2.0-2.5,0,0.0-5.0,1,60-80,0.4-0.6,120-160,6,0.0-5.0,0-500,400-800,2000-3000,14-17,10.0-15.0,5.0-10.0,1,1,1,1
1075,1200-1600,0,0.5-1.0,1,0.0-5.0,1,0-20,0-0.2,120-160,1,10.0-15.0,1500-2000,1600-2000,1000-2000,8-11,0.0-5.0,5.0-10.0,1,1,1,1
1076,400-800,0,1.0-1.5,1,0.0-5.0,1,20-40,0.2-0.4,80-120,5,5.0-10.0,500-1000,1200-1600,0-1000,5-8,0.0-5.0,5.0-10.0,1,1,1,0
1077,1200-1600,0,0.5-1.0,1,5.0-10.0,0,40-60,0.8-1.0,80-120,3,15.0-20.0,1000-1500,1200-1600,3000-4000,14-17,0.0-5.0,10.0-15.0,1,0,1,3
1078,1200-1600,1,0.5-1.0,1,0.0-5.0,0,20-40,0.8-1.0,120-160,6,0.0-5.0,0-500,1600-2000,3000-4000,11-14,10.0-15.0,15.0-20.0,0,1,0,3
1079,1600-2000,1,0.5-1.0,1,0.0-5.0,0,20-40,0-0.2,160-200,8,0.0-5.0,1000-1500,1200-1600,1000-2000,14-17,5.0-10.0,15.0-20.0,0,1,0,2
1080,800-1200,0,2.0-2.5,0,0.0-5.0,0,0-20,0-0.2,80-120,5,0.0-5.0,500-1000,1200-1600,2000-3000,5-8,0.0-5.0,10.0-15.0,0,0,0,1
1081,400-800,1,2.5-3.0,0,0.0-5.0,0,20-40,0.8-1.0,80-120,6,0.0-5.0,500-1000,800-1200,1000-2000,14-17,10.0-15.0,0.0-5.0,0,1,0,0
1082,800-1200,1,2.5-3.0,1,5.0-10.0,0,20-40,0.4-0.6,120-160,4,10.0-15.0,0-500,1200-1600,1000-2000,14-17,15.0-20.0,10.0-15.0,1,0,1,1
1083,1200-1600,0,1.0-1.5,0,10.0-15.0,0,20-40,0.6-0.8,120-160,7,15.0-20.0,1000-1500,1600-2000,2000-3000,8-11,0.0-5.0,0.0-5.0,1,0,0,2
1084,1600-2000,0,1.0-1.5,1,0.0-5.0,0,0-20,0.6-0.8,80-120,5,0.0-5.0,0-500,800-1200,2000-3000,17-20,5.0-10.0,5.0-10.0,1,1,1,2
1085,1600-2000,1,0.5-1.0,0,0.0-5.0,1,40-60,0-0.2,120-160,5,0.0-5.0,500-1000,400-800,2000-3000,11-14,5.0-10.0,5.0-10.0,1,1,1,2
1086,1600-2000,0,2.5-3.0,0,0.0-5.0,1,20-40,0.2-0.4,120-160,1,10.0-15.0,0-500,800-1200,1000-2000,14-17,0.0-5.0,15.0-20.0,1,0,0,1
1087,1200-1600,0,0.5-1.0,0,5.0-10.0,0,40-60,0.8-1.0,120-160,3,10.0-15.0,1000-1500,1200-1600,1000-2000,5-8,0.0-5.0,10.0-15.0,1,0,1,1
1088,1600-2000,1,0.5-1.0,1,5.0-10.0,1,0-20,0-0.2,80-120,3,10.0-15.0,500-1000,1200-1600,0-1000,8-11,0.0-5.0,10.0-15.0,1,0,0,0
1089,400-800,0,1.0-1.5,0,5.0-10.0,1,0-20,0.8-1.0,160-200,2,10.0-15.0,0-500,400-800,2000-3000,14-17,5.0-10.0,5.0-10.0,1,0,0,1
1090,1200-1600,1,0.5-1.0,0,0.0-5.0,0,20-40,0.6-0.8,80-120,5,0.0-5.0,0-500,1200-1600,2000-3000,14-17,5.0-10.0,5.0-10.0,1,0,0,2
1091,1600-2000,1,0.5-1.0,0,5.0-10.0,1,40-60,0.6-0.8,120-160,2,5.0-10.0,500-1000,1200-1600,1000-2000,17-20,0.0-5.0,15.0-20.0,1,0,0,2
1092,800-1200,1,2.5-3.0,0,0.0-5.0,1,40-60,0-0.2,120-160,4,10.0-15.0,1000-1500,1600-2000,2000-3000,14-17,5.0-10.0,10.0-15.0,1,0,0,2
1093,1200-1600,1,2.0-2.5,1,0.0-5.0,0,60-80,0.8-1.0,80-120,4,10.0-15.0,0-500,1600-2000,0-1000,11-14,10.0-15.0,15.0-20.0,1,0,0,0
1094,400-800,1,1.0-1.5,0,0.0-5.0,0,0-20,0.8-1.0,80-120,3,0.0-5.0,0-500,800-1200,0-1000,5-8,0.0-5.0,5.0-10.0,1,1,1,0
